2018-07-18 14:47:55,727 - EXPERIMENT ([0, 30, -0.13, 0.43, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.05],)
2018-07-18 14:47:55,731 - EXPERIMENT ([0, 31, 0.11, 0.37, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.08],)
2018-07-18 14:47:55,737 - EXPERIMENT ([0, 32, 0.28, 0.09, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.12],)
2018-07-18 14:47:55,742 - EXPERIMENT ([0, 33, -0.11, 0.4, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.1],)
2018-07-18 14:47:55,747 - EXPERIMENT ([0, 34, 0.03, 0.48, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.02],)
2018-07-18 14:47:55,751 - EXPERIMENT ([0, 35, 0.24, 0.24, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.13],)
2018-07-18 14:47:55,756 - EXPERIMENT ([0, 36, 0.06, 0.29, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.21],)
2018-07-18 14:47:55,761 - EXPERIMENT ([0, 37, 0.6, 0.1, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.19],)
2018-07-18 14:47:55,766 - EXPERIMENT ([0, 38, 0.05, 0.09, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.3],)
2018-07-18 14:47:55,772 - EXPERIMENT ([0, 39, 0.45, 0.19, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.2],)
