,experiments,runs,theta,delta,outcome,num_A,hits
17,1,7,0.03,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
18,1,8,0.44,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
19,1,9,-0.01,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
20,1,10,-0.06,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
21,2,1,0.36,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,0
22,2,2,0.36,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
23,2,3,0.03,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
24,2,4,0.22,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
25,2,5,0.67,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'A_7', 'B_8', 'B_9', 'B_10']",7,0
26,2,6,0.27,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
27,2,7,0.17,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
28,2,8,0.46,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
29,2,9,0.02,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
30,2,10,0.49,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
31,3,1,-0.14,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
32,3,2,0.05,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
33,3,3,-0.01,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
34,3,4,0.56,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
35,3,5,0.56,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
36,3,6,0.33,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
37,3,7,0.13,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,0
38,3,8,0.34,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,0
39,3,9,-0.14,0.3,"['A_1', 'A_2', 'A_3', 'B_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",3,0
40,3,10,0.09,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
41,4,1,-0.11,0.3,"['A_1', 'A_2', 'A_3', 'B_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",3,0
42,4,2,0.67,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
43,4,3,0.27,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
44,4,4,0.01,0.3,"['A_1', 'A_2', 'A_3', 'B_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",3,0
45,4,5,0.62,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
46,4,6,-0.07,0.3,"['A_1', 'A_2', 'A_3', 'B_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
47,4,7,0.15,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,0
48,4,8,0.64,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
49,4,9,0.66,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'A_7', 'B_8', 'B_9', 'B_10']",7,0
50,4,10,0.31,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
51,5,1,-0.13,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
52,5,2,0.67,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
53,5,3,0.47,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
54,5,4,0.29,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
55,5,5,-0.0,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
56,5,6,0.64,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
57,5,7,0.18,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,0
58,5,8,-0.03,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
59,5,9,0.11,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
60,5,10,0.67,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'A_7', 'B_8', 'B_9', 'B_10']",7,0
61,6,1,-0.13,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
62,6,2,-0.13,0.3,"['A_1', 'A_2', 'A_3', 'B_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",3,0
63,6,3,0.34,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
64,6,4,0.08,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,0
65,6,5,-0.08,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
66,6,6,0.08,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,0
67,6,7,0.27,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
68,6,8,0.32,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,0
69,6,9,0.39,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,0
70,6,10,0.13,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
71,7,1,0.59,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
72,7,2,0.64,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
73,7,3,0.38,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
74,7,4,-0.13,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
75,7,5,0.26,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
76,7,6,0.11,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,0
77,7,7,0.44,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
78,7,8,-0.08,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,0
79,7,9,0.12,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,0
80,7,10,0.66,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
81,8,1,0.52,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
82,8,2,0.18,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
83,8,3,0.33,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
84,8,4,0.23,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
85,8,5,-0.03,0.3,"['A_1', 'A_2', 'A_3', 'B_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",3,0
86,8,6,0.14,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,0
87,8,7,-0.12,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
88,8,8,0.53,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
89,8,9,-0.1,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
90,8,10,-0.01,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
91,9,1,0.17,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,0
92,9,2,0.52,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'A_7', 'B_8', 'B_9', 'B_10']",7,0
93,9,3,0.34,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
94,9,4,0.15,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,0
95,9,5,0.51,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
96,9,6,0.55,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,0
97,9,7,0.24,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
98,9,8,0.53,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
99,9,9,0.27,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
100,9,10,0.12,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
101,10,1,0.29,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
102,10,2,0.31,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
103,10,3,0.36,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
104,10,4,0.64,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
105,10,5,-0.03,0.3,"['A_1', 'A_2', 'A_3', 'B_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",3,0
106,10,6,0.28,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
107,10,7,0.45,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,0
108,10,8,0.39,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
109,10,9,0.61,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
110,10,10,0.52,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
111,11,1,-0.11,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
112,11,2,0.05,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
113,11,3,0.33,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
114,11,4,0.41,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,0
115,11,5,0.3,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
116,11,6,0.36,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
117,11,7,0.22,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
118,11,8,-0.02,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
119,11,9,0.23,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
120,11,10,0.21,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
121,12,1,0.36,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,0
122,12,2,0.6,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
123,12,3,0.27,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
124,12,4,0.44,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,0
125,12,5,0.26,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
126,12,6,0.54,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
127,12,7,0.23,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
128,12,8,-0.02,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
129,12,9,-0.06,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
130,12,10,0.32,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
131,13,1,0.61,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
132,13,2,0.61,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
133,13,3,0.46,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
134,13,4,0.19,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
135,13,5,0.41,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,0
136,13,6,-0.13,0.3,"['A_1', 'A_2', 'A_3', 'B_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",3,0
137,13,7,0.17,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,0
138,13,8,0.59,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
139,13,9,0.63,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
140,13,10,0.04,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
141,14,1,0.39,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
142,14,2,0.41,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,0
143,14,3,0.52,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
144,14,4,0.44,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
145,14,5,-0.08,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
146,14,6,0.31,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
147,14,7,0.63,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'A_7', 'B_8', 'B_9', 'B_10']",7,0
148,14,8,0.61,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
149,14,9,0.18,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,0
150,14,10,-0.01,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
151,15,1,0.25,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
152,15,2,-0.04,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
153,15,3,0.4,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,0
154,15,4,0.17,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
155,15,5,-0.04,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
156,15,6,0.27,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,0
157,15,7,0.12,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
158,15,8,0.45,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
159,15,9,-0.01,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
160,15,10,0.33,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,0
161,16,1,-0.08,0.3,"['A_1', 'A_2', 'A_3', 'B_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",3,0
162,16,2,-0.03,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
163,16,3,-0.07,0.3,"['A_1', 'A_2', 'A_3', 'B_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",3,0
164,16,4,0.03,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
165,16,5,-0.02,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
166,16,6,0.39,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,0
167,16,7,0.64,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
168,16,8,0.4,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,0
169,16,9,0.24,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,0
170,16,10,0.05,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",4,1
171,17,1,0.46,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
172,17,2,0.29,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,0
173,17,3,0.15,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",5,1
174,17,4,0.59,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
175,17,5,0.48,0.3,"['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10']",6,1
176,17,6,-0.13,0.3,"['A_1', 'A_2', 'A_3', 'B_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10']",3,0
