experiment,run,theta,delta,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10,epsilon,numA,expected numA,hits,switch,cross_term
3,66,0.09,0.48,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.14,4,4,1,1,0.06720000000000001
3,67,-0.11,0.46,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.23,4,4,1,1,0.1058
3,68,0.29,0.06,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.38,5,5,1,1,0.0228
3,69,0.67,0.05,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.06,6,6,1,1,0.003
3,70,-0.01,0.12,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.12,4,4,1,1,0.0144
3,71,0.59,0.48,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.13,6,6,1,1,0.0624
3,72,0.18,0.37,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.05,5,5,1,1,0.0185
3,73,0.15,0.15,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.31,4,5,0,1,0.0465
3,74,0.67,0.48,A_1,A_2,A_3,A_4,A_5,A_6,A_7,B_8,B_9,B_10,0.2,7,6,0,1,0.096
3,75,0.33,0.1,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.19,5,5,1,1,0.019000000000000003
3,76,-0.02,0.1,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.4,4,4,1,1,0.04000000000000001
3,77,-0.08,0.02,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.04,4,4,1,1,0.0008
3,78,0.18,0.05,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.32,5,5,1,1,0.016
3,79,0.02,0.48,A_1,A_2,A_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,0.08,3,4,0,1,0.0384
3,80,0.36,0.3,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.24,5,5,1,1,0.072
3,81,-0.07,0.05,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.27,4,4,1,1,0.013500000000000002
3,82,-0.02,0.05,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.15,4,4,1,1,0.0075
3,83,-0.1,0.03,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.17,4,4,1,1,0.0051
3,84,0.53,0.44,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.3,6,6,1,1,0.132
3,85,-0.07,0.26,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.09,4,4,1,1,0.0234
3,86,0.57,0.12,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.06,6,6,1,1,0.0072
3,87,-0.1,0.06,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.26,4,4,1,1,0.0156
3,88,0.11,0.48,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.19,5,4,0,1,0.0912
3,89,0.1,0.18,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.38,4,4,1,1,0.0684
3,90,-0.08,0.1,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.02,4,4,1,1,0.002
3,91,0.07,0.02,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.04,4,4,1,1,0.0008
